N°,Taxon,Famille,Nom vernaculaire,Partie utilisée,Mode de préparation,Mode d’administration,Maladie ou symptôme,Nombre de citation
1,Mimosa pigra L.,Fabaceae,Kikengui,Feuille,Trituration,Voie cutanée/friction,Rougeole,5 (15.6%)
2,Kalonchoe crenata (Anders.) Harv.,Crassulaceae,Yuka-yuka,Feuille,Trituration,Voie rectale,Hémorroïdes,1 (3.1%)
3,Ageratum conyzoides L.,Asteraceae,lukaya lua koki,Feuilles,Trituration,Voie orale,Bronchite,18 (56.2%)
4,Solanum melongena L.,Solanaceae,Binsoukoudou,Feuille,Trituration,Voie orale,Bronchite,18 (56.2%)
5,Boerhaavia diffusa L.,Nyctaginaceae,Nsolokoto,Racine tubérisée,Pilat,Voie orale,Bronchite,18 (56.2%)
6,Senna occidentalis (L.) Link.,Fabaceae,Kinkadimina,Feuilles,Décoction,Voie orale,Paludisme,5 (15.6%)
7,Vitex madiensis Oliv.,Verbenaceae,Mfilou,Feuilles sèches,Décoction,Voie orale,Hypotension artérielle,13 (40.6%)
8,Indet.,Indet.,Singa musitu,Racine,Manger les racines crues,Voie orale,Asthénie sexuelle,4 (12.5%)
9,Sarcocephalus latifolius (Smith),Asteraceae,Mutumbi,Racine,Macération avec solvant l’eau,Voie orale,Paludisme,14 (43.7%)
10,Vernonia amygdalina Del.,Asteraceae,Munduri-nduri,Feuille, Racine,Décoction,Voie orale,Typhoïde,9 (28.1%)
11,Moringa oleifera Lam.,Moringaceae,Murenga,Feuille, Racine, Ecorce,Décoction,Voie orale,Typhoïde, Paludisme, Mal de ventre, rhumatisme,8 (25%)
12,Arachys hypogea L.,Fabaceae,Nguba,Graines,Consommées crues,Voie orale,Typhoïde, Paludisme, Mal de ventre,8 (25%)
13,Adansonia digitata L.,Acanthaceae,Nkondo,Racine,Décoction,Voie orale,Dysenterie,11 (34.4%)
14,Momordica charantia L.,Cucurbitaceae,Dimbussi-mbussi,Feuille,Trituration, décoction,Voie nasale et la voie buccale,Asthme,9 (28.1%)
15,Desmodium gangeticum L. DC.,Fabaceae,Dintata,Feuille,Piler, Macéré,Voie orale,Diarrhée,4 (12.5%)
16,Aspilia kostchyi (Sch. Bip.) Oliv.,Asteraceae,Mudjodi,Feuille,Trituration des feuilles,Voie nasale,Céphale,2 (6.2%)
17,Vernonia sp.,Asteraceae,Lubangu-bangu ya kento,Feuille,Mâcher les feuilles, boire le jus et rejeté les parties restantes,Voie orale,Douleurs abdominales,7 (21.9%)
18,Saccharum officinarum L.,Poaceae,Canna à sucre,Feuille,Décoction,Voie orale,Tension artérielle,8 (25%)
19,Desmodium velutinum (Wilid.) DC.,Fabaceae,Lubata-bata,Feuille,Contusion, filtrat,Voie orale,Diarrhée,9 (28.1%)
20,Ocimum gratissimum L.,Lamiaceae,Mansusu-susu,Feuille,Trituration,Voie nasale et dans les yeux,Vertiges,3 (9.4%)
21,Zea mays L.,Poaceae,Mansangu,Stigmate (style),Faire une décoction des styles (stigmate),Voie orale,Typhoïde,9 (28.1%)
22,Pennicetum purpureum Schum.,Poaceae,Madiadia,Feuille,Décoction,Voie orale,Rhumatisme,5 (15.6%)
23,Citrus limon L.,Rutaceae,Citron,Racine,Décoction,Voie orale,Paludisme,18 (56.2%)
24,Quisqualis hensii (Enql. & Diels) Exell,Combretaceae,Lusumbi-sumbi,Feuille,Contusion, Macération,Voie orale,Dysenterie,4 (12.5%)
25, , ,Muwissi, ,Feuille,Contusion,Voie cutanée,Filariose,2 (6.5%)
26,Manihot esculenta Crantz,Euphorbiaceae,Ntomba,Feuille,Contusion,Voie cutanée,Filariose ou toute sorte de démangeaisons,4 (12.5%)
27,Bambusa vulgaris Schrad.,Poaceae,Bambou,Jeune pousse,Décoction,Voie orale,Tension artérielle,8 (25%)
28,Sida acuta Burm. F,Malvaceae,Ntumvumvu,Feuille,Contusion,Voie orale,Maux estomac,2 (6.5%)
29,Chromolaena odorata (L),Asteraceae,kandimina,Feuille,Trituration,Application locale,Cicatrisation,5 (15.6%)
30,Lycopersicon esculenta Mill.,Solanaceae,Tomate,Feuille,Trituration,Voie nasale,Sinusites,8 (25%)
31,Alchornea cordifolia Mull. Arg.,Euphorbiaceae,Mubunzi,Feuille,Décoction,Voie orale,Carie dentaire,2 (6.5%)
32,Terminalia catappa L.,Combretaceae,Damier,Ecorce,Décoction,Voie orale,Dysenterie,4 (12.5%)
33,Acanthospermum hispidium DC.,Asteraceae,Madiata mangombé,Plante entière,Contusion,Voie orale,Lavage abdominal,1 (3.1%)
34,Persea americanaa Miller,Lauraceae,Avocatier,Feuille,Décoction,Voie orale,Toux, Hypertension artérielle,13 (40.6%)
35,Annona muricata L.,Annonaceae,Corossol,Feuille,Décoction,Voie orale,Toux,18 (56.2%)
36,Eucalyptus citriodora Hook.,Myrtaceae,Eucalyptus,Feuille,Décoction,Voie orale,Toux,18 (56.2%)
37,Dacryodes edulis (G.Don) Lam.,Burseraceae,Musafu (Safoutier),Feuille fraîche,Décoction,Voie orale,Toux,8 (25%)
38,Lantana camara L.,Verbenaceae,Lantana,Feuille,Décoction,Voie orale,Toux,9 (28.1%)
39,Ficus sp.,Moraceae,Mussanda,Feuille,Décoction,Voie orale,Toux,8 (25%)
40,Hybiscus sabdariffa L.,Malvaceae,Nkinkoula,Feuille,Feuilles ramollies, Application locale,-,Furonculose,3 (9.4%)
41,Vigna unguculata (L.) Walpers,Fabaceae,Ndamba,Valves,Carbonisation,Application locale,Furonculose,5 (15.6%)
42,Elaeis guineensis Jacq.,Arecaceae,Ba,Fruit,Trituration,Voie cutanée,Douleurs costales, Rougeole,12 (37.5%)
43,Musa x sapientum L.,Musaceae,Makonda,Axe inflorescentiel,Mettre dans l’eau chaude puis massé,Voie cutanée,Fracture,3 (9.4%)
44,Bidens pilosa L.,Asteraceae,nkongui nza ngoulou,Feuilles,Trituration,Voie cutanée,Douleurs costales,6 (18.7%)
45,Citrus (L.) Osbeck.,Rutaceae,Oranger,Feuilles,Décoction,Voie orale,Tête qui chauffe,1 (3.1%)
46,Gossypium hirsutum L.,Malvaceae,Cotonier,Feuille,Trituration,-,Otite,1 (3.1%)
47,Cola nitida/ Cola acuminata (P. Beauv.) Scott & Endl.,Malvaceae,Colatier,Noix,Manger,Voie orale,Hypotension,10 (31.2%)
