Maladies,Plantes,Mode d'emploi
"Toux, Coqueluche, Nausées",Acacia albida,"Partie molle de l'écorce du tronc, bouillie 10 minutes dans un litre d'eau; filtrer, laisser refroidir, boire au moment des malaises et avant les repas."
"Dents cariées, Rage de dents",Acacia macrostachya,"Écorce de racine, bouillie 20 minutes dans un litre d'eau. Bains de bouche - 1/2 verre trois fois par jour, 2 à 3 jours."
Vers intestinaux,Allium sativum,"1 ou 2 cayeux à croquer à jeun. Pour les bébés, écraser un cayeux dans une cuillérée d'eau, et faire boire."
"Asthme, Herpès",Andansonia digitata,"Poudre de feuilles sèches; une demi cuillérée à café de poudre dans la bouche, au début de la crise; avaler avec un peu d'eau; deuxième prise une demi-heure après."
Hernie,Afzelia africana,"Écorces de racines bouillies pendant 20 minutes dans 4 litres d'eau. Compresse sur la hernie qu'on a fait rentrer, 10 minutes. Mettre un pansement compressif."
Brûlures,Annona senegalensis,"Écorce du tronc, coupée en petits morceaux cuite dans 100 grammes de beurre de karité - 10 minutes d'ébullition - badigeonner l'endroit brûlé matin et soir."
"Miction douloureuse, Vessie",Chiendent africain,"Faire bouillir une poignée dans un litre d'eau pendant 10 minutes, filtrer, laisser refroidir, boire un demi verre 3 fois par jour."
Hémorroïdes,Cochlospernum tinctorium,"Tubercule coupé en petits morceaux, bouillis 10 minutes dans 4 litres d'eau. Laisser tiédir, bain de siège 4 soir. Recommencer avec chaque morceau. Total: 16 jours."
"Fièvre, Paludisme",Crossopteryx febrifuga,"Feuilles avec petites branches bouillies 10 minutes dans 4 litres d'eau; friction de tout le corps avec cette eau chaude, matin et soir, 3 jours."
Vers intestinaux,Cucurbita pepo,"Prendre 5 ou 6 graines crues, les croquer le matin avant de manger. 5 à 6 jours."
Jaunisse,Chrysantella americana,Verser 1/2 litre d'eau bouillante sur une poignée de la plante. Laisser infuser 1/4 d'heure. Boire la moitié le matin. Trois jours de traitement.
"Migraine, Névralgie",Daniella oliverii,"Feuilles bouillies dans un litre d'eau pendant 10 minutes. Compresses sur l'endroit douloureux, 3 à 4 fois par jour. Boisson: deux cuillérées à soupe le matin."
"Avitaminose C, Gale",Detarium microcarpum,"Fruits à sucer à la saison. Piler les fruits juste mûrs, mettre en réserve dans une bouteille. Dose : 1 cuillère à café à sucer matin et midi."
"Conjonctivite, Dermatoses",Diospyros mespiliformis,"Feuilles fraîches pilées, en emplâtre sur la blessure. Recouvrir d'un pansement sec, 2 jours."
Dysenterie amibienne,Euphorbia hirta,"4 à 5 têtes de 5 cm croquées et avalées avec 1/2 verre d'eau, trois jours de suite. Pour les bébés, un brin terminal de 5 cm, pilé et mélangé à 2 cuillérées de bouillie."
Toux,Ficus gnaphalocarpa,"Écorce molle bouillie 10 minutes dans un litre d'eau. Filtrer, laisser refroidir; boire un demi verre matin, midi et soir."
Conjonctivite purulente,Gardenia erubescens,"Écorce de racine bouillie 10 minutes dans 1/2 litre d'eau, filtrer, ajouter une pincée de sel, mettre deux gouttes matin et soir dans l'œil malade."
Hypertension,Gmelina,Verser un litre d'eau bouillante sur 7 feuilles; Laisser infuser 10 minutes. Boire deux cuillérées à soupe matin et soir.
Diarrhée,Guiera senegalensis,"Une poignée de petites tiges avec les feuilles, bouillies 10 minutes dans un litre d'eau. Bébés - Une cuillérée à café toutes les heures, adultes - Une cuillérée à soupe par heure."
Abcès dentaire,Ipomea batatas,"Feuilles fraîches pilées en pâte délayée dans de l'eau chaude, bains de bouche matin, midi et soir, 3 à 4 jours."
"Dermatoses, Mycoses",Lannea acida,"Écorces de racine, feuilles de Piliostigma Thonningii et Diospyros mespiliformis bouillies ensemble 20 minutes dans deux litres d'eau, compresses matin et soir."
Manque de vitamine D et C,Moringa pterygosperma,"Une grosse poignée de feuilles macérées dans de l'eau froide une nuit entière. Filtrer, boire un demi verre matin et midi. Pour les enfants, une cuillérée à soupe matin et midi."
Gerçures,Mytragina inermis,"Écorce de racine bouillie dans 4 litres d'eau. Bains de pieds 10 minutes tous les soirs, 4 à 5 jours. Eau réchauffée chaque soir."
Colique,Nauclea latifolia,5 feuilles bouillies 10 minutes dans un litre d'eau. Boire deux cuillérées à soupe 3 à 4 fois par jour.
Poux,Nicotiana tabacum,"Faire bouillir deux feuilles de tabac dans 1/2 litre d'eau, 5 minutes. Laisser refroidir, mouiller les cheveux le soir, couvrir d'un mouchoir. Le matin, bien laver à l'eau et au savon."
Rhume,Ocimum americanum,"Verser un bol d'eau bouillante sur une dizaine d'épis floraux; se couvrir la tête au-dessus du bol; respirer la vapeur, 10 minutes."
Zona,"Parkia biglobosa, Pennisetum spicatum","Piler ensemble les feuilles de Parkia et les graines de Pennisetum pour faire une pâte. Étendre cette pâte sur le zona, 3 jours de suite."
Aphtes,Poinciana pulcherrima,"Pour les bébés, 10 demi gousses bouillies 10 minutes dans un quart de litre d'eau, filtrer, frotter la bouche de l'enfant. Pour les adultes, 30 demi gousses bouillies 10 minutes dans un 1/2 litre d'eau, bains de bouche prolongés."
"Rhumatismes, Lumbagos",Securidaca longepedonculata,"Écorce des racines mélangée avec beurre de karité. Frictionner la partie douloureuse matin et soir, 4 à 5 jours."
Constipation,Tamarindus indica,"Gousses et graines mises à tremper une nuit dans deux litres d'eau froide avec 1/2 cuillérée de sel. Boire 1/4 de verre tous les matins à jeun, une semaine."
Colique,Terminalia avicennoides,5 à 6 feuilles bouillies 10 minutes dans un litre d'eau. Boire deux cuillérées à soupe toutes les heures.
Bilharziose vésicale,Ximenia americana,"Écorce du tronc bouillie 20 minutes dans 2 litres d'eau, filtrer, boire une cuillérée à café tous les matins avant de manger."
